Sexe,Année de naissance,Commune,Situation familiale,Habitat,Catégorie socioprofessionnelle,Nationalité,Nombre d'enfant(s),Date du contact,1er contact,Motif,Violences,Produits addictifs,Envoyé(e) par institution,age_contact
M,,Nouméa,Union libre,,,FRANCAISE,1,2022-04,True,Auteur,Physiques,,Service pénitentiaire d'insertion et de probation SPIP,0
F,,Nouméa,Célibataire,Hébergé,Employé-e,,4,2021-07,True,Mixte,"Verbales,Psychologiques,Physiques",,Associations,0
F,,Nouméa,Séparé(e),Hébergé,Sans Emploi,,1,2020-10,True,Mixte,Physiques,,Entourage,0
M,,Bourail,Union libre,Hébergé,,,2,2020-01,True,Auteur,"Verbales,Psychologiques,Physiques",,Entourage,0
M,,Paita,Séparé(e),,,,5,2023-10,True,Auteur,"Psychologiques,Physiques",,Service pénitentiaire d'insertion et de probation SPIP,4
M,,Nouméa,Marié(e),Locataire,Employé-e,,,2019-12,True,Auteur,Physiques,,,1
F,,,,,,,,2020-04,True,,Sexuelles,,Entourage,2
F,,Nouméa,Union libre,Locataire,Employé-e,,1,2017-09,True,Mixte,"Physiques,Verbales",,Tribunal,0
F,,Nouméa,Union libre,Locataire,Employé-e,,1,2015-08,False,Victime,"Psychologiques,Verbales,Physiques",alcool,Tribunal,0
M,,Nouméa,Union libre,,Employé-e,,0,2015-05,True,Auteur,"Verbales,Physiques,Psychologiques",,Tribunal,0
F,,Nouméa,Union libre,Squat,Sans Emploi,,2,2015-04,True,Mixte,"Verbales,Psychologiques,Physiques",alcool,Travailleurs sociaux,0
F,,Nouméa,Célibataire,,Aide maternelle,,,2015-02,True,Mixte,"Verbales,Psychologiques,Physiques",,Entourage,0
F,2014,Mont dore,Enfant,Hébergé,Scolarisé-e,FRANCAISE,,2017-03,False,Mixte,"Verbales,Psychologiques",,Entourage,2
F,2013,Nouméa,Enfant,,,,,2019-10,True,Enfant,"Verbales,Psychologiques,Physiques",,Travailleurs sociaux,6
M,,Nouméa,,,,,,2017-12,True,Enfant,"Psychologiques,Verbales",,Entourage,4
F,,Paita,,,,,,2019-02,True,,"Verbales,Physiques",,Entourage,6
M,,Bourail,,,,,,2019-11,True,,"Verbales,Physiques",,Entourage,7
M,2011,Mont dore,Enfant,,,,,2020-01,True,,,,Spontanée,8
M,,,,,,FRANCAISE,,2011-06,True,Autre,"Verbales,Psychologiques",,,0
F,,,,,,,,2019-04,True,,Psychologiques,,Travailleurs sociaux,7
F,2011,,Enfant,,,,,2019-05,True,Enfant,"Verbales,Psychologiques,Physiques",,,8
F,2010,,Enfant,,,FRANCAISE,,2017-04,False,,Psychologiques,,Entourage,6
F,,Nouméa,,,Scolarisé-e,,,2019-05,True,,"Verbales,Psychologiques",,Entourage,8
M,2010,Paita,Enfant,,,,,2019-10,True,Enfant,,,Entourage,9
F,,Nouméa,Union libre,Squat,Sans Emploi,FRANCAISE,2,2010-08,True,Victime,"Verbales,Psychologiques,Physiques",alcool,Tribunal,0
F,,Dumbéa,,,,,,2017-06,False,,,,,7
M,,Nouméa,,,,,,2018-08,True,,"Verbales,Psychologiques",,Entourage,8
F,2009,Nouméa,Enfant,Locataire,Scolarisé-e,,,2020-02,True,Enfant,"Psychologiques,Physiques",,Entourage,10
F,,Nouméa,,Hébergé,,,,2019-09,False,Mixte,"Psychologiques,Verbales,Physiques",,Entourage,10
F,2009,Dumbéa,Enfant,,,,,2019-10,True,,"Verbales,Psychologiques",,,10
F,2009,Nouméa,Enfant,,,FRANCAISE,,2017-03,True,Enfant,"Physiques,Physiques",,Entourage,7
M,,Nouméa,,,,,,2019-10,True,Enfant,Physiques,,Entourage,11
M,2008,Nouméa,Enfant,,,FRANCAISE,,2017-03,True,Mixte,Psychologiques,,,9
M,2007,Nouméa,Enfant,,,,,2018-05,True,Enfant,Psychologiques,,Entourage,11
M,2007,Nouméa,Enfant,,,FRANCAISE,,2017-03,False,,Psychologiques,,,9
F,,Nouméa,,Hébergé,Scolarisé-e,,,2019-05,True,,"Physiques,Psychologiques",,Entourage,12
F,2006,Nouméa,Enfant,,,FRANCAISE,,2017-04,False,Mixte,Psychologiques,,Entourage,10
M,,Nouméa,,Hébergé,,,,2017-10,True,Enfant,"Verbales,Psychologiques,Physiques",,Entourage,11
F,2005,,Enfant,,Scolarisé-e,,,2017-04,False,,Psychologiques,,,11
M,2005,Nouméa,Célibataire,Hébergé,Agent de sécurité,,,2023-10,True,Auteur,Physiques,Prise de produits,Travailleurs sociaux,18
M,,Mont dore,,Hébergé,,,,2018-05,True,Enfant,"Verbales,Physiques,Psychologiques",,Entourage,13
F,,Nouméa,Union libre,Hébergé,Scolarisé-e,,,2022-04,True,Victime,,,Professionnels de santé,17
M,2004,Dumbéa,Union libre,Hébergé,,,,2023-03,True,Auteur,Sexuelles,,Tribunal,18
F,2004,Nouméa,Union libre,Hébergé,,FRANCAISE,,2022-05,True,Victime,"Verbales,Psychologiques,Physiques",,Professionnels de santé,18
F,2003,Nouméa,,Hébergé,,FRANCAISE,,2022-04,True,Victime,"Verbales,Psychologiques,Physiques",,Entourage,18
F,2003,Nouméa,Célibataire,Hébergé,,,1,2023-11,True,Mixte,"Verbales,Psychologiques,Physiques,Sexuelles,Menaces de mort",,Professionnels de santé,20
F,2003,Mont dore,Union libre,,Sans Emploi,,,2023-01,True,Victime,"Verbales,Psychologiques,Physiques,Sexuelles,Menaces de mort",,Entourage,19
F,2003,Mont dore,Séparé(e),Hébergé,,,1,2023-09,True,Victime,"Verbales,Physiques,Psychologiques,Menaces de mort",,,20
M,,Nouméa,,,Etudiant-e,FRANCAISE,,2018-02,True,Enfant,Psychologiques,,,15
M,2002,Dumbéa,Célibataire,,Recherche,,1,2023-03,True,Auteur,,,Service pénitentiaire d'insertion et de probation SPIP,20
