STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,DISABILITY,Disability,EDUCATION,Education level,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment,CONF_STATUS,Confidentiality status
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,_T,All education levels,2020,,20208,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,0,Early childhood education,2020,,552,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,1,Primary education,2020,,2070,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,2,Lower secondary education,2020,,7594,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,3,Upper secondary education,2020,,8590,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,4,Post-secondary non-tertiary education,2020,,390,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,5-8,Tertiary education,2020,,664,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,9,Level not stated,2020,,348,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,_T,All education levels,2020,,3118,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,0,Early childhood education,2020,,138,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,1,Primary education,2020,,573,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,2,Lower secondary education,2020,,1755,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,3,Upper secondary education,2020,,393,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,4,Post-secondary non-tertiary education,2020,,35,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,5-8,Tertiary education,2020,,137,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,9,Level not stated,2020,,87,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,_T,All education levels,2020,,21797,,N,units,,,,,,,,,,
