STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,DISABILITY,Disability,HHCOMP,Household composition,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment,CONF_STATUS,Confidentiality status
DATAFLOW,SPC:DF_EMPLOYED_HHCOMP(1.0),Employed population by household composition,I,A,Annual,MH,Marshall Islands,EMPLOYEDAF,Number of employed persons,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,_T,Total,2011,,393,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_HHCOMP(1.0),Employed population by household composition,I,A,Annual,MH,Marshall Islands,EMPLOYEDAF,Number of employed persons,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,_T,Total,2019,,600,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_HHCOMP(1.0),Employed population by household composition,I,A,Annual,KI,Kiribati,EMPLOYEDAF,Number of employed persons,F,Female,_T,All ages,_T,National,PWD,Persons without disability,_T,Total,2019,,9891,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_HHCOMP(1.0),Employed population by household composition,I,A,Annual,MH,Marshall Islands,EMPLOYEDAF,Number of employed persons,M,Male,Y65T999,65+,_T,National,PWD,Persons without disability,_T,Total,2019,,383,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_HHCOMP(1.0),Employed population by household composition,I,A,Annual,KI,Kiribati,EMPLOYEDAF,Number of employed persons,M,Male,Y55T64,55-64,_T,National,PD,Persons with disability,_T,Total,2019,,28,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_HHCOMP(1.0),Employed population by household composition,I,A,Annual,KI,Kiribati,EMPLOYEDAF,Number of employed persons,F,Female,_T,All ages,_T,National,PD,Persons with disability,_T,Total,2019,,325,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_HHCOMP(1.0),Employed population by household composition,I,A,Annual,MH,Marshall Islands,EMPLOYEDAF,Number of employed persons,F,Female,Y25T54,25-54,_T,National,PWD,Persons without disability,_T,Total,2019,,3990,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_HHCOMP(1.0),Employed population by household composition,I,A,Annual,KI,Kiribati,EMPLOYEDAF,Number of employed persons,F,Female,Y65T999,65+,_T,National,PWD,Persons without disability,_T,Total,2019,,161,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_HHCOMP(1.0),Employed population by household composition,I,A,Annual,NR,Nauru,EMPLOYEDAF,Number of employed persons,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,_T,Total,2011,,103,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_HHCOMP(1.0),Employed population by household composition,I,A,Annual,NR,Nauru,EMPLOYEDAF,Number of employed persons,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,_T,Total,2012,,136,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_HHCOMP(1.0),Employed population by household composition,I,A,Annual,KI,Kiribati,EMPLOYEDAF,Number of employed persons,F,Female,Y15T24,15-24,_T,National,PWD,Persons without disability,_T,Total,2019,,1298,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_HHCOMP(1.0),Employed population by household composition,I,A,Annual,KI,Kiribati,EMPLOYEDAF,Number of employed persons,F,Female,Y15T24,15-24,_T,National,_T,No breakdown by disability,_T,Total,2019,,1314,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_HHCOMP(1.0),Employed population by household composition,I,A,Annual,KI,Kiribati,EMPLOYEDAF,Number of employed persons,M,Male,Y65T999,65+,_T,National,_T,No breakdown by disability,_T,Total,2019,,202,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_HHCOMP(1.0),Employed population by household composition,I,A,Annual,MH,Marshall Islands,EMPLOYEDAF,Number of employed persons,M,Male,_T,All ages,_T,National,_T,No breakdown by disability,_T,Total,2011,,7832,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_HHCOMP(1.0),Employed population by household composition,I,A,Annual,MH,Marshall Islands,EMPLOYEDAF,Number of employed persons,M,Male,_T,All ages,_T,National,_T,No breakdown by disability,_T,Total,2019,,11009,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_HHCOMP(1.0),Employed population by household composition,I,A,Annual,NR,Nauru,EMPLOYEDAF,Number of employed persons,F,Female,Y65T999,65+,_T,National,_T,No breakdown by disability,_T,Total,2011,,8,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_HHCOMP(1.0),Employed population by household composition,I,A,Annual,NR,Nauru,EMPLOYEDAF,Number of employed persons,F,Female,_T,All ages,_T,National,_T,No breakdown by disability,_T,Total,2011,,1166,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_HHCOMP(1.0),Employed population by household composition,I,A,Annual,NR,Nauru,EMPLOYEDAF,Number of employed persons,F,Female,_T,All ages,_T,National,_T,No breakdown by disability,_T,Total,2012,,1462,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_HHCOMP(1.0),Employed population by household composition,I,A,Annual,MH,Marshall Islands,EMPLOYEDAF,Number of employed persons,M,Male,_T,All ages,_T,National,PD,Persons with disability,_T,Total,2019,,305,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_HHCOMP(1.0),Employed population by household composition,I,A,Annual,MH,Marshall Islands,EMPLOYEDAF,Number of employed persons,M,Male,_T,All ages,_T,National,PWD,Persons without disability,_T,Total,2019,,10703,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_HHCOMP(1.0),Employed population by household composition,I,A,Annual,KI,Kiribati,EMPLOYEDAF,Number of employed persons,F,Female,Y25T54,25-54,_T,National,PD,Persons with disability,_T,Total,2019,,215,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_HHCOMP(1.0),Employed population by household composition,I,A,Annual,MH,Marshall Islands,EMPLOYEDAF,Number of employed persons,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,_T,Total,2011,,3255,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_HHCOMP(1.0),Employed population by household composition,I,A,Annual,MH,Marshall Islands,EMPLOYEDAF,Number of employed persons,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,_T,Total,2019,,4030,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_HHCOMP(1.0),Employed population by household composition,I,A,Annual,MH,Marshall Islands,EMPLOYEDAF,Number of employed persons,M,Male,Y65T999,65+,_T,National,_T,No breakdown by disability,_T,Total,2011,,174,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EMPLOYED_HHCOMP(1.0),Employed population by household composition,I,A,Annual,MH,Marshall Islands,EMPLOYEDAF,Number of employed persons,M,Male,Y65T999,65+,_T,National,_T,No breakdown by disability,_T,Total,2019,,435,,N,units,,,,,,,,,,
