STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,DISABILITY,Disability,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment,CONF_STATUS,Confidentiality status
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,MH,Marshall Islands,LFPARTRATE,Labour force participation rate,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,2011,,35.97,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,MH,Marshall Islands,LFPARTRATE,Labour force participation rate,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,2019,,36.58,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,MH,Marshall Islands,LFPARTRATE,Labour force participation rate,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,2011,,59.97,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,MH,Marshall Islands,LFPARTRATE,Labour force participation rate,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,2019,,57.98,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,MH,Marshall Islands,UNEMPRATE,Unemployment rate,_T,Total,_T,All ages,_T,National,_T,No breakdown by disability,2011,,0.96,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,MH,Marshall Islands,UNEMPRATE,Unemployment rate,_T,Total,_T,All ages,_T,National,_T,No breakdown by disability,2019,,6.43,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,NR,Nauru,LFPARTRATE,Labour force participation rate,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,2011,,65.13,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,NR,Nauru,LFPARTRATE,Labour force participation rate,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,2012,,69.74,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,NR,Nauru,UNEMPRATE,Unemployment rate,_T,Total,_T,All ages,_T,National,_T,No breakdown by disability,2011,,33.96,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,NR,Nauru,UNEMPRATE,Unemployment rate,_T,Total,_T,All ages,_T,National,_T,No breakdown by disability,2012,,16.78,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,SB,Solomon Islands,LFPARTRATE,Labour force participation rate,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,2012,,63.85,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,SB,Solomon Islands,UNEMPRATE,Unemployment rate,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,2012,,6.15,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,SB,Solomon Islands,UNEMPRATE,Unemployment rate,_T,Total,Y55T64,55-64,_T,National,_T,No breakdown by disability,2012,,1.68,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,FM,Micronesia (Federated States of),LFPARTRATE,Labour force participation rate,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,2013,,34.47,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,FM,Micronesia (Federated States of),UNEMPRATE,Unemployment rate,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,2013,,5.85,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,PW,Palau,LFPARTRATE,Labour force participation rate,M,Male,Y15T24,15-24,_T,National,_T,No breakdown by disability,2013,,28.21,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,PW,Palau,LFPARTRATE,Labour force participation rate,M,Male,Y15T24,15-24,_T,National,_T,No breakdown by disability,2015,,34.25,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,PW,Palau,UNEMPRATE,Unemployment rate,M,Male,Y15T24,15-24,_T,National,_T,No breakdown by disability,2015,,2.67,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,PW,Palau,UNEMPRATE,Unemployment rate,_T,Total,Y25T54,25-54,_T,National,_T,No breakdown by disability,2015,,0.59,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,WS,Samoa,LFPARTRATE,Labour force participation rate,F,Female,Y15T24,15-24,_T,National,_T,No breakdown by disability,2013,,20.53,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,WS,Samoa,UNEMPRATE,Unemployment rate,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,2013,,1.01,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,CK,Cook Islands,LFPARTRATE,Labour force participation rate,_T,Total,Y15T24,15-24,_T,National,_T,No breakdown by disability,2015,,52.25,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,KI,Kiribati,UNEMPRATE,Unemployment rate,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,2015,,14.24,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,KI,Kiribati,UNEMPRATE,Unemployment rate,M,Male,_T,All ages,_T,National,_T,No breakdown by disability,2015,,34.64,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,KI,Kiribati,UNEMPRATE,Unemployment rate,M,Male,_T,All ages,_T,National,_T,No breakdown by disability,2019,,8.54,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,TV,Tuvalu,LFPARTRATE,Labour force participation rate,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,2015,,70.39,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,TV,Tuvalu,LFPARTRATE,Labour force participation rate,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,2017,,67.94,,PERCENT,percent,,,,,,,,,,
