GEO_PICT,Pacific Island Countries and territories,Urbanization,Occupation,TIME_PERIOD,OBS_VALUE
SB,Solomon Islands,National,Plant and Machine Operators and Assemblers,2012,0.41
SB,Solomon Islands,National,All occupations,2012,0.85
SB,Solomon Islands,National,Managers,2012,0.99
SB,Solomon Islands,National,Craft and Related Trades Workers,2012,0.63
SB,Solomon Islands,National,Elementary Occupations,2012,0.83
SB,Solomon Islands,National,Clerical Support Workers,2012,1.8
SB,Solomon Islands,National,Technicians and Associate Professionals,2012,1.1
SB,Solomon Islands,National,Services and Sales Workers,2012,0.62
SB,Solomon Islands,National,"Skilled Agricultural, Forestry and Fishery Workers",2012,1.14
SB,Solomon Islands,National,Professionals,2012,0.82
SB,Solomon Islands,Rural,Elementary Occupations,2012,0.83
SB,Solomon Islands,Rural,Plant and Machine Operators and Assemblers,2012,0.41
SB,Solomon Islands,Rural,Professionals,2012,0.82
SB,Solomon Islands,Rural,Managers,2012,0.99
SB,Solomon Islands,Rural,Technicians and Associate Professionals,2012,1.1
SB,Solomon Islands,Rural,All occupations,2012,0.91
SB,Solomon Islands,Rural,Services and Sales Workers,2012,0.62
SB,Solomon Islands,Rural,"Skilled Agricultural, Forestry and Fishery Workers",2012,1.14
SB,Solomon Islands,Rural,Clerical Support Workers,2012,1.8
SB,Solomon Islands,Rural,Craft and Related Trades Workers,2012,0.63
SB,Solomon Islands,Urban,Craft and Related Trades Workers,2012,0.63
SB,Solomon Islands,Urban,All occupations,2012,0.77
SB,Solomon Islands,Urban,Technicians and Associate Professionals,2012,1.1
SB,Solomon Islands,Urban,Services and Sales Workers,2012,0.62
SB,Solomon Islands,Urban,Managers,2012,0.99
SB,Solomon Islands,Urban,Plant and Machine Operators and Assemblers,2012,0.41
SB,Solomon Islands,Urban,Elementary Occupations,2012,0.83
SB,Solomon Islands,Urban,Professionals,2012,0.82
SB,Solomon Islands,Urban,"Skilled Agricultural, Forestry and Fishery Workers",2012,1.14
SB,Solomon Islands,Urban,Clerical Support Workers,2012,1.8
FM,Micronesia (Federated States of),National,All occupations,2013,0.94
FM,Micronesia (Federated States of),National,"Skilled Agricultural, Forestry and Fishery Workers",2013,0.41
FM,Micronesia (Federated States of),National,Craft and Related Trades Workers,2013,0.67
FM,Micronesia (Federated States of),National,Elementary Occupations,2013,1.16
FM,Micronesia (Federated States of),National,Plant and Machine Operators and Assemblers,2013,0.7
FM,Micronesia (Federated States of),National,Technicians and Associate Professionals,2013,0.85
FM,Micronesia (Federated States of),National,Clerical Support Workers,2013,1.69
FM,Micronesia (Federated States of),National,Professionals,2013,0.92
FM,Micronesia (Federated States of),National,Managers,2013,1.21
FM,Micronesia (Federated States of),National,Services and Sales Workers,2013,0.95
FM,Micronesia (Federated States of),Rural,Managers,2013,1.21
FM,Micronesia (Federated States of),Rural,Professionals,2013,0.92
FM,Micronesia (Federated States of),Rural,Plant and Machine Operators and Assemblers,2013,0.7
FM,Micronesia (Federated States of),Rural,Elementary Occupations,2013,1.16
FM,Micronesia (Federated States of),Rural,Craft and Related Trades Workers,2013,0.67
FM,Micronesia (Federated States of),Rural,All occupations,2013,0.92
FM,Micronesia (Federated States of),Rural,Technicians and Associate Professionals,2013,0.85
FM,Micronesia (Federated States of),Rural,Clerical Support Workers,2013,1.69
FM,Micronesia (Federated States of),Rural,Services and Sales Workers,2013,0.95
FM,Micronesia (Federated States of),Rural,"Skilled Agricultural, Forestry and Fishery Workers",2013,0.41
FM,Micronesia (Federated States of),Urban,Clerical Support Workers,2013,1.69
FM,Micronesia (Federated States of),Urban,Technicians and Associate Professionals,2013,0.85
FM,Micronesia (Federated States of),Urban,Services and Sales Workers,2013,0.95
FM,Micronesia (Federated States of),Urban,Managers,2013,1.21
FM,Micronesia (Federated States of),Urban,Elementary Occupations,2013,1.16
FM,Micronesia (Federated States of),Urban,Craft and Related Trades Workers,2013,0.67
FM,Micronesia (Federated States of),Urban,Plant and Machine Operators and Assemblers,2013,0.7
FM,Micronesia (Federated States of),Urban,All occupations,2013,0.96
FM,Micronesia (Federated States of),Urban,"Skilled Agricultural, Forestry and Fishery Workers",2013,0.41
FM,Micronesia (Federated States of),Urban,Professionals,2013,0.92
PW,Palau,National,Managers,2013,0.95
PW,Palau,National,Elementary Occupations,2013,0.37
PW,Palau,National,Professionals,2013,0.85
PW,Palau,National,Plant and Machine Operators and Assemblers,2013,0.91
PW,Palau,National,Craft and Related Trades Workers,2013,0.89
PW,Palau,National,Technicians and Associate Professionals,2013,1.33
PW,Palau,National,All occupations,2013,0.94
PW,Palau,National,Services and Sales Workers,2013,0.86
PW,Palau,National,"Skilled Agricultural, Forestry and Fishery Workers",2013,1.11
PW,Palau,National,Clerical Support Workers,2013,1.34
PW,Palau,Rural,Professionals,2013,0.85
PW,Palau,Rural,Elementary Occupations,2013,0.37
PW,Palau,Rural,Clerical Support Workers,2013,1.34
PW,Palau,Rural,Plant and Machine Operators and Assemblers,2013,0.91
PW,Palau,Rural,"Skilled Agricultural, Forestry and Fishery Workers",2013,1.11
PW,Palau,Rural,Services and Sales Workers,2013,0.86
PW,Palau,Rural,Technicians and Associate Professionals,2013,1.33
