STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,INDICATOR,Indicator,GEO_PICT,Pacific Island Countries and territories,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,INCOME,Income,EDUCATION,Education level,OCCUPATION,Occupation,COMPOSITE_BREAKDOWN,Composite breakdown,DISABILITY,Disability,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,REPORTING_TYPE,Reporting type,NATURE,Nature,DATA_SOURCE,Data source,OBS_STATUS,Observation Status,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,VU,Vanuatu,F,Female,Y55T64,55-64,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,5.3,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,KI,Kiribati,M,Male,Y15T999,15+,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,19,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,MH,Marshall Islands,M,Male,Y15T24,15-24,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,11.3,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,KI,Kiribati,M,Male,Y15T24,15-24,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,6.3,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,KI,Kiribati,F,Female,Y65T999,65+,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,0.9,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,MH,Marshall Islands,M,Male,Y65T999,65+,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,28,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,MH,Marshall Islands,F,Female,Y65T999,65+,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,9.2,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,VU,Vanuatu,F,Female,Y65T999,65+,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,1.3,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,VU,Vanuatu,F,Female,Y15T24,15-24,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,5.8,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,VU,Vanuatu,F,Female,Y15T999,15+,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,12.3,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,KI,Kiribati,F,Female,Y25T54,25-54,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,19.5,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,MH,Marshall Islands,F,Female,Y55T64,55-64,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,15.2,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,KI,Kiribati,M,Male,Y65T999,65+,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,2.6,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,KI,Kiribati,F,Female,Y15T999,15+,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,13,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,MH,Marshall Islands,M,Male,Y15T999,15+,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,43.3,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,VU,Vanuatu,M,Male,Y55T64,55-64,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,9.7,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,VU,Vanuatu,M,Male,Y65T999,65+,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,3.9,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
